"addr_state","taxa_inad_temp","Risco_addr_state_BIN"
"ak",0.157804459691252,"Risk3"
"al",0.155097974094985,"Risk3"
"ar",0.153804347826087,"Risk3"
"az",0.127695994522424,"Risk2"
"ca",0.132967884510518,"Risk2"
"co",0.103874227961819,"Risk1"
"ct",0.103344982526211,"Risk1"
"dc",0.089430894308943,"Risk1"
"de",0.128985507246377,"Risk2"
"fl",0.140948156362628,"Risk3"
"ga",0.114145141451415,"Risk1"
"hi",0.133951137320977,"Risk2"
"ia",0.5,"Risk3"
"id",0.0964912280701754,"Risk1"
"il",0.115778083808774,"Risk2"
"in",0.139069655338636,"Risk3"
"ks",0.101150527325024,"Risk1"
"ky",0.127409891031014,"Risk2"
"la",0.148716119828816,"Risk3"
"ma",0.1165393497957,"Risk2"
"md",0.133584658252746,"Risk2"
"me",0.0550284629981025,"Risk1"
"mi",0.134609494640122,"Risk2"
"mn",0.126478616924477,"Risk2"
"mo",0.14142175332831,"Risk3"
"ms",0.15514705882353,"Risk3"
"mt",0.0943396226415093,"Risk1"
"nc",0.135197797420664,"Risk3"
"nd",0.108040201005025,"Risk1"
"ne",0.119726339794755,"Risk2"
"nh",0.0947191953059514,"Risk1"
"nj",0.131610251973613,"Risk2"
"nm",0.139156180606958,"Risk3"
"nv",0.136970730321114,"Risk3"
"ny",0.141274896610733,"Risk3"
"oh",0.123663932388764,"Risk2"
"ok",0.15250637213254,"Risk3"
"or",0.0934197067848619,"Risk1"
"others",0,"Risk1"
"pa",0.135387157695941,"Risk3"
"ri",0.133333333333333,"Risk2"
"sc",0.104506232023011,"Risk1"
"sd",0.137867647058824,"Risk3"
"tn",0.147503782148261,"Risk3"
"tx",0.130213137835607,"Risk2"
"ut",0.114465408805031,"Risk1"
"va",0.128721415216453,"Risk2"
"vt",0.0884955752212389,"Risk1"
"wa",0.110808709175738,"Risk1"
"wi",0.120821833793315,"Risk2"
"wv",0.0895361380798274,"Risk1"
"wy",0.112595419847328,"Risk1"
