"earliest_cr_line","taxa_inad_temp","Risco_earliest_cr_line_BIN"
"apr-1957",0,"Risk1"
"apr-1960",0,"Risk1"
"apr-1962",0,"Risk1"
"apr-1963",0,"Risk1"
"apr-1964",0.333333333333333,"Risk3"
"apr-1965",0,"Risk1"
"apr-1966",0.2,"Risk3"
"apr-1967",0.307692307692308,"Risk3"
"apr-1968",0,"Risk1"
"apr-1969",0.125,"Risk2"
"apr-1970",0.1,"Risk1"
"apr-1971",0.235294117647059,"Risk3"
"apr-1972",0.136363636363636,"Risk3"
"apr-1973",0.161290322580645,"Risk3"
"apr-1974",0.214285714285714,"Risk3"
"apr-1975",0.21875,"Risk3"
"apr-1976",0.105263157894737,"Risk1"
"apr-1977",0.123076923076923,"Risk2"
"apr-1978",0.157894736842105,"Risk3"
"apr-1979",0.154639175257732,"Risk3"
"apr-1980",0.119402985074627,"Risk2"
"apr-1981",0.118279569892473,"Risk2"
"apr-1982",0.0849056603773585,"Risk1"
"apr-1983",0.0802469135802469,"Risk1"
"apr-1984",0.122905027932961,"Risk2"
"apr-1985",0.0789473684210526,"Risk1"
"apr-1986",0.0829694323144105,"Risk1"
"apr-1987",0.107476635514019,"Risk1"
"apr-1988",0.139751552795031,"Risk3"
"apr-1989",0.103064066852368,"Risk1"
"apr-1990",0.1002331002331,"Risk1"
"apr-1991",0.120343839541547,"Risk2"
"apr-1992",0.123123123123123,"Risk2"
"apr-1993",0.136082474226804,"Risk3"
"apr-1994",0.129757785467128,"Risk2"
"apr-1995",0.14662273476112,"Risk3"
"apr-1996",0.117880794701987,"Risk2"
"apr-1997",0.128987517337032,"Risk2"
"apr-1998",0.148241206030151,"Risk3"
"apr-1999",0.126086956521739,"Risk2"
"apr-2000",0.139148494288681,"Risk3"
"apr-2001",0.160909090909091,"Risk3"
"apr-2002",0.146666666666667,"Risk3"
"apr-2003",0.120926243567753,"Risk2"
"apr-2004",0.132551848512173,"Risk2"
"apr-2005",0.131877729257642,"Risk2"
"apr-2006",0.124538745387454,"Risk2"
"apr-2007",0.129186602870813,"Risk2"
"apr-2008",0.119127516778524,"Risk2"
"apr-2009",0.134615384615385,"Risk2"
"apr-2010",0.146245059288538,"Risk3"
"apr-2011",0.1513353115727,"Risk3"
"apr-2012",0.154135338345865,"Risk3"
"apr-2013",0.14,"Risk3"
"apr-2014",0.0584795321637427,"Risk1"
"apr-2015",0.0149253731343283,"Risk1"
"aug-1951",1,"Risk3"
"aug-1957",0,"Risk1"
"aug-1958",1,"Risk3"
"aug-1960",0,"Risk1"
"aug-1961",1,"Risk3"
"aug-1962",0.5,"Risk3"
"aug-1964",0.333333333333333,"Risk3"
"aug-1965",0.333333333333333,"Risk3"
"aug-1966",0.25,"Risk3"
"aug-1967",0.166666666666667,"Risk3"
"aug-1968",0,"Risk1"
"aug-1969",0.0625,"Risk1"
"aug-1970",0,"Risk1"
"aug-1971",0.157894736842105,"Risk3"
"aug-1972",0.133333333333333,"Risk2"
"aug-1973",0.111111111111111,"Risk1"
"aug-1974",0.048780487804878,"Risk1"
"aug-1975",0.0540540540540541,"Risk1"
"aug-1976",0.0851063829787234,"Risk1"
"aug-1977",0.0819672131147541,"Risk1"
"aug-1978",0.074468085106383,"Risk1"
"aug-1979",0.0945945945945946,"Risk1"
"aug-1980",0.202898550724638,"Risk3"
"aug-1981",0.125,"Risk2"
"aug-1982",0.0869565217391305,"Risk1"
"aug-1983",0.129251700680272,"Risk2"
"aug-1984",0.0732984293193717,"Risk1"
"aug-1985",0.114427860696517,"Risk2"
"aug-1986",0.0782608695652174,"Risk1"
"aug-1987",0.128630705394191,"Risk2"
"aug-1988",0.128301886792453,"Risk2"
"aug-1989",0.141025641025641,"Risk3"
"aug-1990",0.133640552995392,"Risk2"
"aug-1991",0.129032258064516,"Risk2"
"aug-1992",0.12987012987013,"Risk2"
"aug-1993",0.106508875739645,"Risk1"
"aug-1994",0.129205921938089,"Risk2"
"aug-1995",0.141592920353982,"Risk3"
"aug-1996",0.11497005988024,"Risk2"
"aug-1997",0.121654501216545,"Risk2"
"aug-1998",0.135561745589601,"Risk3"
"aug-1999",0.126771066368382,"Risk2"
"aug-2000",0.138461538461538,"Risk3"
"aug-2001",0.148100450740502,"Risk3"
"aug-2002",0.127592708988058,"Risk2"
"aug-2003",0.136010362694301,"Risk3"
"aug-2004",0.138681592039801,"Risk3"
"aug-2005",0.129130966952265,"Risk2"
"aug-2006",0.120310478654592,"Risk2"
"aug-2007",0.113722517058378,"Risk2"
"aug-2008",0.121506682867558,"Risk2"
"aug-2009",0.102409638554217,"Risk1"
"aug-2010",0.0992779783393503,"Risk1"
"aug-2011",0.10246679316888,"Risk1"
"aug-2012",0.102493074792244,"Risk1"
"aug-2013",0.117216117216117,"Risk2"
"aug-2014",0.0522875816993464,"Risk1"
"aug-2015",0,"Risk1"
"dec-1951",0,"Risk1"
"dec-1956",0.5,"Risk3"
"dec-1961",0,"Risk1"
"dec-1962",0,"Risk1"
"dec-1963",0.333333333333333,"Risk3"
"dec-1964",0.666666666666667,"Risk3"
"dec-1965",0,"Risk1"
"dec-1966",0.333333333333333,"Risk3"
"dec-1967",0,"Risk1"
"dec-1968",0,"Risk1"
"dec-1969",0,"Risk1"
"dec-1970",0.0588235294117647,"Risk1"
"dec-1971",0.133333333333333,"Risk2"
"dec-1972",0.157894736842105,"Risk3"
"dec-1973",0.125,"Risk2"
"dec-1974",0.125,"Risk2"
"dec-1975",0.122448979591837,"Risk2"
"dec-1976",0.16,"Risk3"
"dec-1977",0.0655737704918032,"Risk1"
"dec-1978",0.184615384615385,"Risk3"
"dec-1979",0.176470588235294,"Risk3"
"dec-1980",0.0845070422535212,"Risk1"
"dec-1981",0.123595505617978,"Risk2"
"dec-1982",0.143939393939394,"Risk3"
"dec-1983",0.106666666666667,"Risk1"
"dec-1984",0.087719298245614,"Risk1"
"dec-1985",0.0760233918128655,"Risk1"
"dec-1986",0.106995884773663,"Risk1"
"dec-1987",0.133603238866397,"Risk2"
"dec-1988",0.123636363636364,"Risk2"
"dec-1989",0.127725856697819,"Risk2"
"dec-1990",0.11731843575419,"Risk2"
"dec-1991",0.141274238227147,"Risk3"
"dec-1992",0.149888143176734,"Risk3"
"dec-1993",0.124624624624625,"Risk2"
"dec-1994",0.128275862068965,"Risk2"
"dec-1995",0.132075471698113,"Risk2"
"dec-1996",0.143039591315453,"Risk3"
"dec-1997",0.130232558139535,"Risk2"
"dec-1998",0.137596899224806,"Risk3"
"dec-1999",0.125821596244131,"Risk2"
"dec-2000",0.140105078809107,"Risk3"
"dec-2001",0.131938857602574,"Risk2"
"dec-2002",0.132173913043478,"Risk2"
"dec-2003",0.142735042735043,"Risk3"
"dec-2004",0.143764892772041,"Risk3"
"dec-2005",0.135135135135135,"Risk3"
"dec-2006",0.145792563600783,"Risk3"
"dec-2007",0.150081566068515,"Risk3"
"dec-2008",0.119592875318066,"Risk2"
"dec-2009",0.118980169971671,"Risk2"
"dec-2010",0.114649681528662,"Risk2"
"dec-2011",0.141176470588235,"Risk3"
"dec-2012",0.1139896373057,"Risk2"
"dec-2013",0.1,"Risk1"
"dec-2014",0.0348837209302326,"Risk1"
"feb-1959",0,"Risk1"
"feb-1960",0,"Risk1"
"feb-1961",0.5,"Risk3"
"feb-1963",0,"Risk1"
"feb-1964",0,"Risk1"
"feb-1965",0,"Risk1"
"feb-1966",0.4,"Risk3"
"feb-1967",0,"Risk1"
"feb-1968",0.2,"Risk3"
"feb-1969",0.1,"Risk1"
"feb-1970",0.0769230769230769,"Risk1"
"feb-1971",0,"Risk1"
"feb-1972",0.16,"Risk3"
"feb-1973",0.0416666666666667,"Risk1"
"feb-1974",0.05,"Risk1"
"feb-1975",0.0303030303030303,"Risk1"
"feb-1976",0.0588235294117647,"Risk1"
"feb-1977",0.137931034482759,"Risk3"
"feb-1978",0.109090909090909,"Risk1"
"feb-1979",0.0757575757575758,"Risk1"
"feb-1980",0.126760563380282,"Risk2"
"feb-1981",0.125,"Risk2"
"feb-1982",0.094017094017094,"Risk1"
"feb-1983",0.125984251968504,"Risk2"
"feb-1984",0.141935483870968,"Risk3"
"feb-1985",0.0967741935483871,"Risk1"
"feb-1986",0.148809523809524,"Risk3"
"feb-1987",0.116,"Risk2"
"feb-1988",0.15546218487395,"Risk3"
"feb-1989",0.108614232209738,"Risk1"
"feb-1990",0.117241379310345,"Risk2"
"feb-1991",0.121673003802281,"Risk2"
"feb-1992",0.108359133126935,"Risk1"
"feb-1993",0.113157894736842,"Risk2"
"feb-1994",0.126415094339623,"Risk2"
"feb-1995",0.110912343470483,"Risk1"
"feb-1996",0.127329192546584,"Risk2"
"feb-1997",0.126099706744868,"Risk2"
"feb-1998",0.14421768707483,"Risk3"
"feb-1999",0.133037694013304,"Risk2"
"feb-2000",0.129764065335753,"Risk2"
"feb-2001",0.128358208955224,"Risk2"
"feb-2002",0.160504959422904,"Risk3"
"feb-2003",0.135135135135135,"Risk3"
"feb-2004",0.145639288738357,"Risk3"
"feb-2005",0.138225255972696,"Risk3"
"feb-2006",0.133009708737864,"Risk2"
"feb-2007",0.132054176072235,"Risk2"
"feb-2008",0.144278606965174,"Risk3"
"feb-2009",0.15112540192926,"Risk3"
"feb-2010",0.145038167938931,"Risk3"
"feb-2011",0.16382252559727,"Risk3"
"feb-2012",0.123919308357349,"Risk2"
"feb-2013",0.0974358974358974,"Risk1"
"feb-2014",0.114130434782609,"Risk2"
"feb-2015",0.0337078651685393,"Risk1"
"jan-1950",0,"Risk1"
"jan-1951",0,"Risk1"
"jan-1953",1,"Risk3"
"jan-1954",0,"Risk1"
"jan-1955",0,"Risk1"
"jan-1956",0,"Risk1"
"jan-1958",0.5,"Risk3"
"jan-1959",1,"Risk3"
"jan-1960",0.125,"Risk2"
