"sec_app_earliest_cr_line","taxa_inad_temp","Risco_sec_app_earliest_cr_line_BIN"
"apr-1969",1,"Risk3"
"apr-1972",0,"Risk1"
"apr-1976",0,"Risk1"
"apr-1977",0,"Risk1"
"apr-1978",0.25,"Risk3"
"apr-1979",0.5,"Risk3"
"apr-1980",0,"Risk1"
"apr-1981",0.5,"Risk3"
"apr-1982",0,"Risk1"
"apr-1983",0,"Risk1"
"apr-1984",0,"Risk1"
"apr-1985",0,"Risk1"
"apr-1986",0,"Risk1"
"apr-1987",0,"Risk1"
"apr-1988",0.0909090909090909,"Risk3"
"apr-1989",0,"Risk1"
"apr-1990",0,"Risk1"
"apr-1991",0,"Risk1"
"apr-1992",0,"Risk1"
"apr-1993",0.0769230769230769,"Risk3"
"apr-1994",0.0357142857142857,"Risk2"
"apr-1995",0.148148148148148,"Risk3"
"apr-1996",0.037037037037037,"Risk2"
"apr-1997",0,"Risk1"
"apr-1998",0.0909090909090909,"Risk3"
"apr-1999",0,"Risk1"
"apr-2000",0.032258064516129,"Risk2"
"apr-2001",0.0666666666666667,"Risk3"
"apr-2002",0.0769230769230769,"Risk3"
"apr-2003",0.0263157894736842,"Risk2"
"apr-2004",0.0925925925925926,"Risk3"
"apr-2005",0.0579710144927536,"Risk2"
"apr-2006",0.0357142857142857,"Risk2"
"apr-2007",0.087719298245614,"Risk3"
"apr-2008",0.0465116279069767,"Risk2"
"apr-2009",0.0625,"Risk2"
"apr-2010",0.0416666666666667,"Risk2"
"apr-2011",0.129032258064516,"Risk3"
"apr-2012",0.125,"Risk3"
"apr-2013",0.125,"Risk3"
"apr-2014",0.0714285714285714,"Risk3"
"apr-2015",0.05,"Risk2"
"apr-2016",0.0833333333333333,"Risk3"
"apr-2017",0.285714285714286,"Risk3"
"apr-2018",0,"Risk1"
"aug-1966",0,"Risk1"
"aug-1967",0,"Risk1"
"aug-1971",0,"Risk1"
"aug-1973",0,"Risk1"
"aug-1974",0,"Risk1"
"aug-1975",1,"Risk3"
"aug-1976",0,"Risk1"
"aug-1977",0,"Risk1"
"aug-1978",0.2,"Risk3"
"aug-1980",0,"Risk1"
"aug-1981",0,"Risk1"
"aug-1982",0,"Risk1"
"aug-1983",0,"Risk1"
"aug-1984",0,"Risk1"
"aug-1985",0.125,"Risk3"
"aug-1986",0,"Risk1"
"aug-1987",0,"Risk1"
"aug-1988",0,"Risk1"
"aug-1989",0,"Risk1"
"aug-1990",0,"Risk1"
"aug-1991",0,"Risk1"
"aug-1992",0.0909090909090909,"Risk3"
"aug-1993",0,"Risk1"
"aug-1994",0,"Risk1"
"aug-1995",0.037037037037037,"Risk2"
"aug-1996",0.0434782608695652,"Risk2"
"aug-1997",0,"Risk1"
"aug-1998",0,"Risk1"
"aug-1999",0.0270270270270271,"Risk2"
"aug-2000",0.0217391304347826,"Risk2"
"aug-2001",0.0847457627118645,"Risk3"
"aug-2002",0.0153846153846154,"Risk2"
"aug-2003",0.081081081081081,"Risk3"
"aug-2004",0.0759493670886076,"Risk3"
"aug-2005",0.0545454545454546,"Risk2"
"aug-2006",0.0813008130081301,"Risk3"
"aug-2007",0.1,"Risk3"
"aug-2008",0.0925925925925926,"Risk3"
"aug-2009",0.0666666666666667,"Risk3"
"aug-2010",0.0217391304347826,"Risk2"
"aug-2011",0.0652173913043478,"Risk2"
"aug-2012",0.0967741935483871,"Risk3"
"aug-2013",0.0476190476190476,"Risk2"
"aug-2014",0.19047619047619,"Risk3"
"aug-2015",0.0714285714285714,"Risk3"
"aug-2016",0.125,"Risk3"
"aug-2017",0.125,"Risk3"
"dec-1965",1,"Risk3"
"dec-1972",0,"Risk1"
"dec-1974",0,"Risk1"
"dec-1976",0,"Risk1"
"dec-1977",0,"Risk1"
"dec-1978",0,"Risk1"
"dec-1979",0,"Risk1"
"dec-1980",0.5,"Risk3"
"dec-1981",0,"Risk1"
"dec-1982",0.333333333333333,"Risk3"
"dec-1983",0.25,"Risk3"
"dec-1984",0,"Risk1"
"dec-1985",0,"Risk1"
"dec-1986",0,"Risk1"
"dec-1987",0,"Risk1"
"dec-1988",0,"Risk1"
"dec-1989",0.25,"Risk3"
"dec-1990",0.0909090909090909,"Risk3"
"dec-1991",0,"Risk1"
"dec-1992",0,"Risk1"
"dec-1993",0.0526315789473684,"Risk2"
"dec-1994",0.08,"Risk3"
"dec-1995",0.0526315789473684,"Risk2"
"dec-1996",0,"Risk1"
"dec-1997",0,"Risk1"
"dec-1998",0.03125,"Risk2"
"dec-1999",0.0384615384615385,"Risk2"
"dec-2000",0.0714285714285714,"Risk3"
"dec-2001",0.0227272727272727,"Risk2"
"dec-2002",0.0655737704918032,"Risk3"
"dec-2003",0.0263157894736842,"Risk2"
"dec-2004",0.0909090909090909,"Risk3"
"dec-2005",0.0416666666666667,"Risk2"
"dec-2006",0.0394736842105263,"Risk2"
"dec-2007",0.1,"Risk3"
"dec-2008",0.129032258064516,"Risk3"
"dec-2009",0.076923076923077,"Risk3"
"dec-2010",0.05,"Risk2"
"dec-2011",0.121212121212121,"Risk3"
"dec-2012",0.05,"Risk2"
"dec-2013",0.153846153846154,"Risk3"
"dec-2014",0.0666666666666667,"Risk3"
"dec-2015",0,"Risk1"
"dec-2016",0,"Risk1"
"dec-2017",0,"Risk1"
"feb-1968",0,"Risk1"
"feb-1976",0,"Risk1"
"feb-1977",0,"Risk1"
"feb-1978",0,"Risk1"
"feb-1979",0.5,"Risk3"
"feb-1980",0,"Risk1"
"feb-1981",0,"Risk1"
"feb-1982",0.333333333333333,"Risk3"
"feb-1983",0.166666666666667,"Risk3"
"feb-1984",0,"Risk1"
"feb-1985",0,"Risk1"
"feb-1986",0.2,"Risk3"
"feb-1987",0,"Risk1"
"feb-1988",0,"Risk1"
"feb-1989",0,"Risk1"
"feb-1990",0.2,"Risk3"
"feb-1991",0,"Risk1"
"feb-1992",0.125,"Risk3"
"feb-1993",0,"Risk1"
"feb-1994",0,"Risk1"
"feb-1995",0.0384615384615385,"Risk2"
"feb-1996",0,"Risk1"
"feb-1997",0.0434782608695652,"Risk2"
"feb-1998",0,"Risk1"
"feb-1999",0.0303030303030303,"Risk2"
"feb-2000",0,"Risk1"
"feb-2001",0.0857142857142857,"Risk3"
"feb-2002",0.0952380952380952,"Risk3"
"feb-2003",0.0625,"Risk2"
"feb-2004",0.0461538461538461,"Risk2"
"feb-2005",0.0246913580246914,"Risk2"
"feb-2006",0.113924050632911,"Risk3"
"feb-2007",0.114754098360656,"Risk3"
"feb-2008",0.0196078431372549,"Risk2"
"feb-2009",0,"Risk1"
"feb-2010",0.15,"Risk3"
"feb-2011",0.125,"Risk3"
"feb-2012",0.0714285714285714,"Risk3"
"feb-2013",0.137931034482759,"Risk3"
"feb-2014",0.0370370370370371,"Risk2"
"feb-2015",0,"Risk1"
"feb-2016",0,"Risk1"
"feb-2017",0,"Risk1"
"feb-2018",0,"Risk1"
"jan-1960",0,"Risk1"
"jan-1965",0,"Risk1"
"jan-1972",0,"Risk1"
"jan-1973",0,"Risk1"
"jan-1974",0,"Risk1"
"jan-1975",0,"Risk1"
"jan-1976",0,"Risk1"
"jan-1977",0,"Risk1"
"jan-1978",0,"Risk1"
"jan-1980",0,"Risk1"
"jan-1981",0,"Risk1"
"jan-1983",0,"Risk1"
"jan-1984",0.333333333333333,"Risk3"
"jan-1985",0.166666666666667,"Risk3"
"jan-1986",0.166666666666667,"Risk3"
"jan-1987",0,"Risk1"
"jan-1988",0,"Risk1"
"jan-1989",0,"Risk1"
"jan-1990",0,"Risk1"
"jan-1991",0,"Risk1"
"jan-1992",0,"Risk1"
"jan-1993",0.2,"Risk3"
"jan-1994",0.111111111111111,"Risk3"
"jan-1995",0,"Risk1"
"jan-1996",0,"Risk1"
"jan-1997",0.0714285714285714,"Risk3"
"jan-1998",0.0909090909090909,"Risk3"
"jan-1999",0.0384615384615385,"Risk2"
"jan-2000",0,"Risk1"
"jan-2001",0.0833333333333334,"Risk3"
"jan-2002",0,"Risk1"
"jan-2003",0.0555555555555555,"Risk2"
"jan-2004",0.08,"Risk3"
"jan-2005",0.0357142857142857,"Risk2"
"jan-2006",0.0394736842105263,"Risk2"
"jan-2007",0.0845070422535212,"Risk3"
"jan-2008",0.137254901960784,"Risk3"
"jan-2009",0.0476190476190476,"Risk2"
"jan-2010",0.111111111111111,"Risk3"
"jan-2011",0.0526315789473684,"Risk2"
"jan-2012",0.105263157894737,"Risk3"
"jan-2013",0,"Risk1"
"jan-2014",0.0454545454545455,"Risk2"
"jan-2015",0.142857142857143,"Risk3"
"jan-2016",0.1,"Risk3"
"jan-2017",0,"Risk1"
"jan-2018",0,"Risk1"
"jul-1964",0,"Risk1"
"jul-1969",0,"Risk1"
"jul-1970",0,"Risk1"
"jul-1973",0,"Risk1"
"jul-1974",0,"Risk1"
"jul-1975",0.5,"Risk3"
"jul-1976",0,"Risk1"
"jul-1977",0,"Risk1"
"jul-1978",0,"Risk1"
"jul-1979",0,"Risk1"
"jul-1980",0,"Risk1"
"jul-1981",0.5,"Risk3"
"jul-1982",0,"Risk1"
"jul-1983",0,"Risk1"
"jul-1984",0,"Risk1"
"jul-1985",0,"Risk1"
"jul-1986",0,"Risk1"
"jul-1987",0,"Risk1"
"jul-1988",0,"Risk1"
"jul-1989",0,"Risk1"
"jul-1990",0.181818181818182,"Risk3"
"jul-1991",0,"Risk1"
"jul-1992",0.0833333333333333,"Risk3"
"jul-1993",0.05,"Risk2"
"jul-1994",0.0666666666666667,"Risk3"
"jul-1995",0.037037037037037,"Risk2"
"jul-1996",0,"Risk1"
"jul-1997",0.142857142857143,"Risk3"
"jul-1998",0.075,"Risk3"
"jul-1999",0.0697674418604651,"Risk3"
"jul-2000",0.0416666666666667,"Risk2"
