"sub_grade","taxa_inad_temp","Risco_sub_grade_BIN"
"a1",0.0180064308681671,"Risk1"
"a2",0.0294878427315054,"Risk1"
"a3",0.0344028303037697,"Risk1"
"a4",0.0400260029717685,"Risk1"
"a5",0.0533964177086854,"Risk1"
"b1",0.0636868244230206,"Risk1"
"b2",0.0717029449423819,"Risk1"
"b3",0.088139583189088,"Risk1"
"b4",0.096761831768538,"Risk1"
"b5",0.110175026123303,"Risk1"
"c1",0.1198125,"Risk1"
"c2",0.135416666666667,"Risk2"
"c3",0.141896624177055,"Risk2"
"c4",0.162359272109325,"Risk2"
"c5",0.161613787700744,"Risk2"
"d1",0.190544255085212,"Risk2"
"d2",0.200268489138394,"Risk2"
"d3",0.203221288515407,"Risk2"
"d4",0.229549379808447,"Risk2"
"d5",0.221243808475509,"Risk2"
"e1",0.262769878883623,"Risk2"
"e2",0.283759124087591,"Risk2"
"e3",0.281954887218045,"Risk2"
"e4",0.298675230830992,"Risk3"
"e5",0.302514193025142,"Risk3"
"f1",0.342800528401585,"Risk3"
"f2",0.338999055712937,"Risk3"
"f3",0.387417218543046,"Risk3"
"f4",0.38847858197932,"Risk3"
"f5",0.394827586206897,"Risk3"
"g1",0.368312757201646,"Risk3"
"g2",0.386281588447653,"Risk3"
"g3",0.382352941176471,"Risk3"
"g4",0.404040404040404,"Risk3"
"g5",0.43312101910828,"Risk3"
"others",0,"Risk1"
