"title","taxa_inad_temp","Risco_title_BIN"
"""""young professional's"""" career start-up",0,"Risk1"
"#2",0,"Risk1"
"#2 credit card loan",0,"Risk1"
"$16k loan - med. & dental expenses",0,"Risk1"
"$20,000 consolidation loan needed",1,"Risk3"
"$3000 loan",1,"Risk3"
"$4,000 personal loan - home improvement",0,"Risk1"
"$consolidation",0,"Risk1"
"'56 dream trailer",0,"Risk1"
"0 debt plan",0,"Risk1"
"01",1,"Risk3"
"03 ford ranger",0,"Risk1"
"04102011",0,"Risk1"
"06 camaro",0,"Risk1"
"07 fatboy",0,"Risk1"
"09-2011 debt consolidation",0,"Risk1"
"0livia 24",0,"Risk1"
"1 check instead of 6",0,"Risk1"
"1 debt",0,"Risk1"
"1 payment",0,"Risk1"
"1 time debt loan",0,"Risk1"
"1-4-3 loan",0,"Risk1"
"10 vs 1",0,"Risk1"
"100% guaranteed loan. that's a promise.",0,"Risk1"
"100% perfect payment history",0,"Risk1"
"100% prompt, help me be debt free!",0,"Risk1"
"10000",0,"Risk1"
"10k",0,"Risk1"
"1166 home improvement",0,"Risk1"
"11cbgreatloan",1,"Risk3"
"13.11% loan rate",0,"Risk1"
"13000",0,"Risk1"
"14.85% to replace 17.24%",0,"Risk1"
"14k loan",0,"Risk1"
"15,000",0,"Risk1"
"16k5yr",0,"Risk1"
"17th green",0,"Risk1"
"1925 window replacement",0,"Risk1"
"1957 chevy",0,"Risk1"
"1964 chevy",0,"Risk1"
"1964 corvette",0,"Risk1"
"1969 lemans",1,"Risk3"
"1970 camaro",0,"Risk1"
"1970 dodge charger",0,"Risk1"
"1978 corvette",0,"Risk1"
"1985 mb 380sl",0,"Risk1"
"1992accord",0,"Risk1"
"1994 chevy tahoe",0,"Risk1"
"1997 jeep wrangler",0,"Risk1"
"1998 harley davidson",0,"Risk1"
"1998 se",0,"Risk1"
"1999 chevy tahoe",0,"Risk1"
"1fbusa credit card refinance",0,"Risk1"
"1fbusa payoff",0,"Risk1"
"1monthlypayment",0,"Risk1"
"1snowball",0,"Risk1"
"1st",0,"Risk1"
"1st financial",0,"Risk1"
"1st one",1,"Risk3"
"1st reliable car purchase",0,"Risk1"
"1stepfromdebtfree",0,"Risk1"
"2 car garage",0,"Risk1"
"2 cards",0,"Risk1"
"2 kids in college",1,"Risk3"
"20% of pool installation cost",0,"Risk1"
"2000loan",0,"Risk1"
"2001 dodge ram 2500",0,"Risk1"
"2003 f-350",0,"Risk1"
"2003 saturn",0,"Risk1"
"2004 gmc",0,"Risk1"
"2005 ck 2500",0,"Risk1"
"2007 hd 1200c",0,"Risk1"
"2008 honda civic",0,"Risk1"
"2009 chevy malibu purchase",0,"Risk1"
"2010",0.5,"Risk3"
"2010 consolidation",1,"Risk3"
"2010 credit card expense",0,"Risk1"
"2010 debt consolidation",0,"Risk1"
"2010 fund",0,"Risk1"
"2010 milgauss",0,"Risk1"
"2010 payment of maryland taxes",0,"Risk1"
"2010-payoff",1,"Risk3"
"2011 consol loan",0,"Risk1"
"2011 consolidation",0,"Risk1"
"2011 dcl",0,"Risk1"
"2011 debt consolidation loan",0,"Risk1"
"2011 loan",0.333333333333333,"Risk3"
"2011-help",0,"Risk1"
"2011creditcardrefi",0,"Risk1"
"2011loan",0,"Risk1"
"2011loanconsol",0,"Risk1"
"2012",0,"Risk1"
"2012 bill consolidation",0,"Risk1"
"2012 cc refi",0,"Risk1"
"2012 consolidation",0,"Risk1"
"2012 consolidation loan",0,"Risk1"
"2012 credit card consolidation",0,"Risk1"
"2012 credit card payoff",0,"Risk1"
"2012 debt",0,"Risk1"
"2012 debt consolidation",0,"Risk1"
"2012 emergency funds payoff",0,"Risk1"
"2012 goal: debt free! :)",1,"Risk3"
"2012 loan",0.333333333333333,"Risk3"
"2012 personal loan",0,"Risk1"
"2012 surgery",0,"Risk1"
"2012 taxes",0,"Risk1"
"2012 winter plan",0,"Risk1"
"2012consolidation",0,"Risk1"
"2012help",0,"Risk1"
"2013",0,"Risk1"
"2013 cc debt repay",0,"Risk1"
"2013 cc payment",0,"Risk1"
"2013 consolidation",0.333333333333333,"Risk3"
"2013 debt consolidation",0,"Risk1"
"2013 debt consolidation loan",0,"Risk1"
"2013 debt ends",0,"Risk1"
"2013 freedom",0,"Risk1"
"2013 help",0,"Risk1"
"2013 home fixerupper",0,"Risk1"
"2013 loam",0,"Risk1"
"2013 loan",0.5,"Risk3"
"2013 new start",0,"Risk1"
"2013 payoff",0,"Risk1"
"2013 payoff cards",0,"Risk1"
"2013 ranger",0,"Risk1"
"2013 september engagement party",0,"Risk1"
"2013debtcon",0,"Risk1"
"2013help",0,"Risk1"
"2013loan",0,"Risk1"
"2013recovery",0,"Risk1"
"2400",0,"Risk1"
"250 2stroke",0,"Risk1"
"2800",0,"Risk1"
"28000 at 18",0,"Risk1"
"28k",0,"Risk1"
"2bfree2015",0,"Risk1"
"2consolidateme",0,"Risk1"
"2nd",0,"Risk1"
"2nd  consolidation",0,"Risk1"
"2nd chance",0,"Risk1"
"2nd chance @ credit freedom",0,"Risk1"
"2nd credit card consolidation",0,"Risk1"
"2nd lc loan",0,"Risk1"
"2nd lc loan please",1,"Risk3"
"2nd lending club",0,"Risk1"
"2nd loan",0,"Risk1"
"2nd loan finish last few credit cards",0,"Risk1"
"2nd/pay off first",0,"Risk1"
"2payoffdebt",0,"Risk1"
"3 c's: credit card consolidation",0,"Risk1"
"3 card consolidation",0,"Risk1"
"3 credit card pay off",0,"Risk1"
