"zip_code","taxa_inad_temp","Risco_zip_code_BIN"
"007xx",0,"Risk1"
"008xx",0,"Risk1"
"010xx",0.216358839050132,"Risk3"
"011xx",0.304347826086957,"Risk3"
"012xx",0.225806451612903,"Risk3"
"013xx",0.151515151515152,"Risk1"
"014xx",0.180790960451977,"Risk2"
"015xx",0.147058823529412,"Risk1"
"016xx",0.192857142857143,"Risk2"
"017xx",0.15018315018315,"Risk1"
"018xx",0.174460431654676,"Risk2"
"019xx",0.151960784313725,"Risk1"
"020xx",0.163265306122449,"Risk2"
"021xx",0.150608044901777,"Risk1"
"022xx",0.0434782608695652,"Risk1"
"023xx",0.201421800947867,"Risk3"
"024xx",0.130232558139535,"Risk1"
"025xx",0.230769230769231,"Risk3"
"026xx",0.157894736842105,"Risk1"
"027xx",0.159203980099502,"Risk1"
"028xx",0.17410071942446,"Risk2"
"029xx",0.159883720930233,"Risk1"
"030xx",0.11271676300578,"Risk1"
"031xx",0.183823529411765,"Risk2"
"032xx",0.124183006535948,"Risk1"
"033xx",0.0943396226415095,"Risk1"
"034xx",0.119402985074627,"Risk1"
"035xx",0.119047619047619,"Risk1"
"036xx",0,"Risk1"
"037xx",0.203389830508475,"Risk3"
"038xx",0.120141342756184,"Risk1"
"043xx",0,"Risk1"
"050xx",0.115384615384615,"Risk1"
"051xx",0.1,"Risk1"
"052xx",0.0357142857142857,"Risk1"
"053xx",0.222222222222222,"Risk3"
"054xx",0.129707112970711,"Risk1"
"056xx",0.151515151515151,"Risk1"
"057xx",0.144927536231884,"Risk1"
"058xx",0,"Risk1"
"059xx",0,"Risk1"
"060xx",0.149691358024691,"Risk1"
"061xx",0.135514018691589,"Risk1"
"062xx",0.131944444444444,"Risk1"
"063xx",0.148936170212766,"Risk1"
"064xx",0.148793565683646,"Risk1"
"065xx",0.131832797427653,"Risk1"
"066xx",0.127572016460905,"Risk1"
"067xx",0.183098591549296,"Risk2"
"068xx",0.132992327365729,"Risk1"
"069xx",0.107142857142857,"Risk1"
"070xx",0.167871900826446,"Risk2"
"071xx",0.190322580645161,"Risk2"
"072xx",0.187817258883249,"Risk2"
"073xx",0.136807817589576,"Risk1"
"074xx",0.165236051502146,"Risk2"
"075xx",0.167785234899329,"Risk2"
"076xx",0.188380281690141,"Risk2"
"077xx",0.164912280701754,"Risk2"
"078xx",0.144638403990025,"Risk1"
"079xx",0.130434782608696,"Risk1"
"080xx",0.205998421468035,"Risk3"
"081xx",0.174757281553398,"Risk2"
"082xx",0.190954773869347,"Risk2"
"083xx",0.210045662100457,"Risk3"
"084xx",0.275862068965517,"Risk3"
"085xx",0.170138888888889,"Risk2"
"086xx",0.204878048780488,"Risk3"
"087xx",0.195,"Risk3"
"088xx",0.161885245901639,"Risk2"
"089xx",0.283950617283951,"Risk3"
"090xx",0.166666666666667,"Risk2"
"091xx",0.333333333333333,"Risk3"
"092xx",0,"Risk1"
"093xx",0,"Risk1"
"094xx",0,"Risk1"
"096xx",0.5,"Risk3"
"098xx",0,"Risk1"
"100xx",0.153242677824268,"Risk1"
"101xx",0.135135135135135,"Risk1"
"102xx",0.0666666666666667,"Risk1"
"103xx",0.187396351575456,"Risk2"
"104xx",0.233373639661427,"Risk3"
"105xx",0.218700475435816,"Risk3"
"106xx",0.122222222222222,"Risk1"
"107xx",0.2,"Risk3"
"108xx",0.141509433962264,"Risk1"
"109xx",0.178321678321678,"Risk2"
"110xx",0.17578125,"Risk2"
"111xx",0.1671388101983,"Risk2"
"112xx",0.198572628043661,"Risk3"
"113xx",0.197865353037767,"Risk3"
"114xx",0.190233977619532,"Risk2"
"115xx",0.201754385964912,"Risk3"
"116xx",0.252336448598131,"Risk3"
"117xx",0.183529411764706,"Risk2"
"118xx",0.301587301587302,"Risk3"
"119xx",0.178294573643411,"Risk2"
"120xx",0.185507246376812,"Risk2"
"121xx",0.197478991596639,"Risk3"
"122xx",0.155038759689922,"Risk1"
"123xx",0.198717948717949,"Risk3"
"124xx",0.286821705426357,"Risk3"
"125xx",0.185273159144893,"Risk2"
"126xx",0.333333333333333,"Risk3"
"127xx",0.138297872340426,"Risk1"
"128xx",0.164893617021277,"Risk2"
"129xx",0.172413793103448,"Risk2"
"130xx",0.187032418952618,"Risk2"
"131xx",0.178343949044586,"Risk2"
"132xx",0.22279792746114,"Risk3"
"133xx",0.15625,"Risk1"
"134xx",0.204188481675393,"Risk3"
"135xx",0.25531914893617,"Risk3"
"136xx",0.19672131147541,"Risk3"
"137xx",0.177083333333333,"Risk2"
"138xx",0.144578313253012,"Risk1"
"139xx",0.195652173913044,"Risk3"
"140xx",0.1796875,"Risk2"
"141xx",0.186868686868687,"Risk2"
"142xx",0.226415094339623,"Risk3"
"143xx",0.19672131147541,"Risk3"
"144xx",0.208029197080292,"Risk3"
"145xx",0.180327868852459,"Risk2"
"146xx",0.16747572815534,"Risk2"
"147xx",0.20979020979021,"Risk3"
"148xx",0.23936170212766,"Risk3"
"149xx",0.28125,"Risk3"
"150xx",0.173780487804878,"Risk2"
"151xx",0.225490196078431,"Risk3"
"152xx",0.149532710280374,"Risk1"
"153xx",0.196078431372549,"Risk3"
"154xx",0.186666666666667,"Risk2"
"155xx",0.25,"Risk3"
