"x1","home_is_rent","grade","risco_zip_code_bin","default","dti_disc","installment_disc","last_fico_range_high_disc","loan_amnt_disc","mo_sin_old_rev_tl_op_disc","annual_inc_disc","fico_range_low_disc"
202710,"no","C","Risk1","no","[0,12]","(266,384]","(689,734]","[1e+03,1e+04]","[3,120]","(6.5e+04,9e+04]","(670,685]"
168321,"no","A","Risk3","no","(17.6,23.8]","[23.4,266]","(734,850]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","(705,845]"
121148,"yes","C","Risk3","no","(23.8,40]","(266,384]","(689,734]","(1e+04,1.76e+04]","(120,168]","(4.54e+04,6.5e+04]","(705,845]"
70545,"yes","A","Risk3","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","[660,670]"
140432,"yes","E","Risk3","yes","(17.6,23.8]","(384,579]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(4.54e+04,6.5e+04]","[660,670]"
226829,"no","C","Risk1","no","[0,12]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(9e+04,7.5e+06]","(685,705]"
193650,"yes","D","Risk3","no","(23.8,40]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(234,842]","[3e+03,4.54e+04]","(685,705]"
135476,"no","C","Risk1","yes","[0,12]","[23.4,266]","[0,624]","[1e+03,1e+04]","[3,120]","(6.5e+04,9e+04]","(670,685]"
114799,"no","D","Risk3","yes","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(120,168]","[3e+03,4.54e+04]","[660,670]"
4804,"no","B","Risk1","no","(17.6,23.8]","[23.4,266]","(689,734]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","(705,845]"
88489,"no","C","Risk2","no","(23.8,40]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(6.5e+04,9e+04]","(685,705]"
195723,"yes","C","Risk1","yes","(23.8,40]","(266,384]","[0,624]","[1e+03,1e+04]","[3,120]","(6.5e+04,9e+04]","(670,685]"
234486,"no","E","Risk2","no","(12,17.6]","(266,384]","(624,689]","(1e+04,1.76e+04]","(168,234]","(4.54e+04,6.5e+04]","(685,705]"
159317,"yes","D","Risk3","no","[0,12]","(384,579]","(734,850]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","[660,670]"
175421,"yes","D","Risk1","no","(12,17.6]","(384,579]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(4.54e+04,6.5e+04]","(670,685]"
185255,"no","E","Risk2","yes","(23.8,40]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(670,685]"
58173,"yes","B","Risk3","no","[0,12]","[23.4,266]","(624,689]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","[660,670]"
136873,"no","C","Risk1","no","(23.8,40]","(384,579]","(624,689]","(1e+04,1.76e+04]","(168,234]","(6.5e+04,9e+04]","(685,705]"
108475,"yes","A","Risk2","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","(705,845]"
116701,"yes","B","Risk2","no","[0,12]","(384,579]","(624,689]","(1e+04,1.76e+04]","(120,168]","(9e+04,7.5e+06]","(685,705]"
208717,"no","F","Risk2","no","(23.8,40]","(579,1.41e+03]","(689,734]","(1e+04,1.76e+04]","(234,842]","(4.54e+04,6.5e+04]","[660,670]"
98120,"no","B","Risk1","no","(17.6,23.8]","(266,384]","(689,734]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","(670,685]"
32142,"yes","D","Risk1","no","(23.8,40]","(266,384]","(624,689]","(1e+04,1.76e+04]","(120,168]","[3e+03,4.54e+04]","[660,670]"
157721,"no","E","Risk2","no","(17.6,23.8]","(266,384]","(689,734]","(1e+04,1.76e+04]","(234,842]","(4.54e+04,6.5e+04]","[660,670]"
138928,"yes","C","Risk3","no","(12,17.6]","[23.4,266]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(670,685]"
224842,"no","C","Risk2","no","(17.6,23.8]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(6.5e+04,9e+04]","(705,845]"
1051,"no","A","Risk1","no","[0,12]","(266,384]","(624,689]","[1e+03,1e+04]","(120,168]","(9e+04,7.5e+06]","(685,705]"
146777,"yes","C","Risk1","no","(17.6,23.8]","(266,384]","(624,689]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","[660,670]"
126508,"no","A","Risk1","no","(17.6,23.8]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
176500,"yes","B","Risk3","no","(23.8,40]","[23.4,266]","(624,689]","[1e+03,1e+04]","(120,168]","[3e+03,4.54e+04]","(670,685]"
96924,"yes","A","Risk1","no","(17.6,23.8]","(384,579]","(734,850]","(1e+04,1.76e+04]","(168,234]","[3e+03,4.54e+04]","(685,705]"
181904,"no","D","Risk2","yes","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(4.54e+04,6.5e+04]","(685,705]"
88212,"yes","F","Risk2","no","(23.8,40]","(266,384]","(689,734]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","(685,705]"
211152,"no","D","Risk2","no","[0,12]","(266,384]","(624,689]","(1e+04,1.76e+04]","(234,842]","(4.54e+04,6.5e+04]","[660,670]"
154214,"no","E","Risk1","no","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","[660,670]"
185562,"no","C","Risk2","yes","(12,17.6]","(384,579]","[0,624]","(1e+04,1.76e+04]","(168,234]","(4.54e+04,6.5e+04]","(685,705]"
67802,"no","D","Risk2","yes","[0,12]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(234,842]","(4.54e+04,6.5e+04]","[660,670]"
60891,"no","B","Risk2","no","[0,12]","(266,384]","(624,689]","[1e+03,1e+04]","(120,168]","(6.5e+04,9e+04]","[660,670]"
50535,"no","E","Risk1","yes","(17.6,23.8]","(266,384]","[0,624]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","[660,670]"
2372,"no","A","Risk3","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","(120,168]","(6.5e+04,9e+04]","(705,845]"
123553,"yes","C","Risk3","no","(17.6,23.8]","[23.4,266]","(624,689]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","(685,705]"
208751,"no","B","Risk2","no","(17.6,23.8]","(266,384]","[0,624]","[1e+03,1e+04]","(120,168]","(4.54e+04,6.5e+04]","(705,845]"
161079,"no","D","Risk1","no","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(234,842]","[3e+03,4.54e+04]","(685,705]"
117493,"no","B","Risk1","no","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","(705,845]"
230945,"no","C","Risk2","no","(23.8,40]","[23.4,266]","(624,689]","[1e+03,1e+04]","(234,842]","(6.5e+04,9e+04]","[660,670]"
34896,"yes","D","Risk2","no","(17.6,23.8]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","[3,120]","(9e+04,7.5e+06]","[660,670]"
5010,"no","A","Risk1","no","[0,12]","[23.4,266]","[0,624]","[1e+03,1e+04]","(234,842]","(6.5e+04,9e+04]","[660,670]"
207461,"no","D","Risk1","no","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","[660,670]"
14951,"no","A","Risk2","no","[0,12]","(384,579]","(734,850]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
86152,"no","A","Risk1","no","(17.6,23.8]","(266,384]","(734,850]","(1e+04,1.76e+04]","(234,842]","(4.54e+04,6.5e+04]","(705,845]"
122268,"no","C","Risk1","no","(12,17.6]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(120,168]","(6.5e+04,9e+04]","(670,685]"
